hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
rephetio-v2.0	prior_prob	1	0.8418	0.57895	prior	0
rephetio-v2.0_perm-1	prior_prob	1	0.79839	0.36918	prior	1
rephetio-v2.0_perm-2	prior_prob	1	0.80001	0.36282	prior	1
rephetio-v2.0_perm-3	prior_prob	1	0.79762	0.35907	prior	1
rephetio-v2.0_perm-4	prior_prob	1	0.80059	0.35137	prior	1
rephetio-v2.0_perm-5	prior_prob	1	0.79626	0.366	prior	1
rephetio-v2.0	CbG	0.98764	0.53747	0.2224	degree	0
rephetio-v2.0_perm-1	CbG	0.98901	0.53348	0.12034	degree	1
rephetio-v2.0_perm-2	CbG	0.98853	0.53493	0.11929	degree	1
rephetio-v2.0_perm-3	CbG	0.99005	0.54346	0.12316	degree	1
rephetio-v2.0_perm-4	CbG	0.98954	0.5354	0.12034	degree	1
rephetio-v2.0_perm-5	CbG	0.98796	0.53685	0.12066	degree	1
rephetio-v2.0	CtD	1	0.69083	0.43306	degree	0
rephetio-v2.0_perm-1	CtD	1	0.67911	0.26142	degree	1
rephetio-v2.0_perm-2	CtD	1	0.67637	0.25315	degree	1
rephetio-v2.0_perm-3	CtD	1	0.67564	0.25017	degree	1
rephetio-v2.0_perm-4	CtD	1	0.67616	0.24663	degree	1
rephetio-v2.0_perm-5	CtD	1	0.67856	0.25741	degree	1
rephetio-v2.0	DaG	1	0.67492	0.39573	degree	0
rephetio-v2.0_perm-1	DaG	1	0.66408	0.23866	degree	1
rephetio-v2.0_perm-2	DaG	1	0.66157	0.23039	degree	1
rephetio-v2.0_perm-3	DaG	1	0.66141	0.23224	degree	1
rephetio-v2.0_perm-4	DaG	1	0.66481	0.23675	degree	1
rephetio-v2.0_perm-5	DaG	1	0.66129	0.23413	degree	1
rephetio-v2.0	DtC	1	0.75979	0.46564	degree	0
rephetio-v2.0_perm-1	DtC	1	0.73831	0.28269	degree	1
rephetio-v2.0_perm-2	DtC	1	0.73897	0.27722	degree	1
rephetio-v2.0_perm-3	DtC	1	0.73449	0.27591	degree	1
rephetio-v2.0_perm-4	DtC	1	0.73666	0.2793	degree	1
rephetio-v2.0_perm-5	DtC	1	0.73597	0.28001	degree	1
rephetio-v2.0	CbGaD	0.3265	0.71649	0.4868	dwpc	0
rephetio-v2.0_perm-1	CbGaD	0.31239	0.56582	0.13908	dwpc	1
rephetio-v2.0_perm-2	CbGaD	0.28663	0.57317	0.14192	dwpc	1
rephetio-v2.0_perm-3	CbGaD	0.3093	0.56408	0.13269	dwpc	1
rephetio-v2.0_perm-4	CbGaD	0.30131	0.55701	0.1347	dwpc	1
rephetio-v2.0_perm-5	CbGaD	0.31937	0.57098	0.13731	dwpc	1
rephetio-v2.0	CbGaDaGaD	0.97854	0.68749	0.35711	dwpc	0
rephetio-v2.0_perm-1	CbGaDaGaD	0.97871	0.59809	0.15238	dwpc	1
rephetio-v2.0_perm-2	CbGaDaGaD	0.97514	0.61005	0.16494	dwpc	1
rephetio-v2.0_perm-3	CbGaDaGaD	0.9808	0.60882	0.15532	dwpc	1
rephetio-v2.0_perm-4	CbGaDaGaD	0.97384	0.60823	0.15765	dwpc	1
rephetio-v2.0_perm-5	CbGaDaGaD	0.97592	0.61474	0.16639	dwpc	1
rephetio-v2.0	CbGaDtCtD	0.73463	0.68021	0.35502	dwpc	0
rephetio-v2.0_perm-1	CbGaDtCtD	0.81798	0.61248	0.16754	dwpc	1
rephetio-v2.0_perm-2	CbGaDtCtD	0.85277	0.61595	0.16189	dwpc	1
rephetio-v2.0_perm-3	CbGaDtCtD	0.83121	0.61567	0.15079	dwpc	1
rephetio-v2.0_perm-4	CbGaDtCtD	0.83261	0.59914	0.15271	dwpc	1
rephetio-v2.0_perm-5	CbGaDtCtD	0.85358	0.61273	0.16804	dwpc	1
rephetio-v2.0	CbGbCbGaD	0.91089	0.69051	0.4364	dwpc	0
rephetio-v2.0_perm-1	CbGbCbGaD	0.9836	0.62621	0.16875	dwpc	1
rephetio-v2.0_perm-2	CbGbCbGaD	0.98088	0.63445	0.17772	dwpc	1
rephetio-v2.0_perm-3	CbGbCbGaD	0.98708	0.64733	0.18586	dwpc	1
rephetio-v2.0_perm-4	CbGbCbGaD	0.98117	0.62181	0.17084	dwpc	1
rephetio-v2.0_perm-5	CbGbCbGaD	0.98168	0.61849	0.1685	dwpc	1
rephetio-v2.0	CbGbCtD	0.70797	0.84855	0.68302	dwpc	0
rephetio-v2.0_perm-1	CbGbCtD	0.80384	0.62057	0.17657	dwpc	1
rephetio-v2.0_perm-2	CbGbCtD	0.83504	0.62178	0.16613	dwpc	1
rephetio-v2.0_perm-3	CbGbCtD	0.81463	0.62607	0.16622	dwpc	1
rephetio-v2.0_perm-4	CbGbCtD	0.82354	0.63435	0.16409	dwpc	1
rephetio-v2.0_perm-5	CbGbCtD	0.81082	0.65318	0.18764	dwpc	1
rephetio-v2.0	CtDaGaD	0.84846	0.56855	0.46059	dwpc	0
rephetio-v2.0_perm-1	CtDaGaD	0.92216	0.44645	0.16601	dwpc	1
rephetio-v2.0_perm-2	CtDaGaD	0.91639	0.43334	0.1571	dwpc	1
rephetio-v2.0_perm-3	CtDaGaD	0.91325	0.43887	0.16071	dwpc	1
rephetio-v2.0_perm-4	CtDaGaD	0.92746	0.44899	0.14976	dwpc	1
rephetio-v2.0_perm-5	CtDaGaD	0.9185	0.45769	0.17451	dwpc	1
rephetio-v2.0	CtDaGbCtD	0.75512	0.50264	0.31608	dwpc	0
rephetio-v2.0_perm-1	CtDaGbCtD	0.81955	0.47031	0.15642	dwpc	1
rephetio-v2.0_perm-2	CtDaGbCtD	0.83244	0.45998	0.15698	dwpc	1
rephetio-v2.0_perm-3	CtDaGbCtD	0.83104	0.46903	0.15398	dwpc	1
rephetio-v2.0_perm-4	CtDaGbCtD	0.84446	0.45488	0.14538	dwpc	1
rephetio-v2.0_perm-5	CtDaGbCtD	0.81379	0.47402	0.17327	dwpc	1
