compound_id	CbG	CtD
DB00014	2	1
DB00035	5	0
DB00050	2	0
DB00091	30	3
DB00093	1	0
DB00104	6	1
DB00115	13	0
DB00116	12	0
DB00117	5	0
DB00118	9	0
DB00119	16	0
DB00120	8	0
DB00121	11	0
DB00122	31	0
DB00123	7	0
DB00125	12	0
DB00126	23	1
DB00127	14	0
DB00128	21	0
DB00129	14	0
DB00130	26	0
DB00131	18	0
DB00132	7	0
DB00133	9	0
DB00134	16	0
DB00135	6	0
DB00136	4	2
DB00137	1	0
DB00138	5	0
DB00139	27	0
DB00140	5	0
DB00141	8	0
DB00143	43	0
DB00144	10	0
DB00145	31	0
DB00146	3	0
DB00147	1	0
DB00148	8	0
DB00149	8	0
DB00150	9	0
DB00151	15	0
DB00152	6	0
DB00153	7	2
DB00154	3	0
DB00155	12	0
DB00156	4	0
DB00158	12	0
DB00159	11	0
DB00160	14	0
DB00161	4	0
DB00162	22	0
DB00163	19	0
DB00165	2	0
DB00166	5	0
DB00167	6	0
DB00168	5	0
DB00169	14	3
DB00170	21	0
DB00171	36	0
DB00172	22	0
DB00173	7	0
DB00174	7	0
DB00175	19	2
DB00176	15	0
DB00177	5	2
DB00178	4	4
DB00179	5	0
DB00180	3	2
DB00181	3	0
DB00182	12	0
DB00183	2	0
DB00184	32	0
DB00185	5	0
DB00186	5	0
DB00187	2	1
DB00188	17	1
DB00189	3	0
DB00190	1	0
DB00191	8	0
DB00192	1	0
DB00193	11	0
DB00194	4	0
DB00195	4	1
DB00196	8	0
DB00198	6	0
DB00199	11	0
DB00200	11	0
DB00201	22	0
DB00202	10	0
DB00203	17	0
DB00204	4	0
DB00205	4	1
DB00206	8	1
DB00207	4	0
DB00208	11	0
DB00209	4	0
DB00210	6	0
DB00211	5	0
DB00212	1	0
DB00213	9	0
DB00214	5	1
DB00215	14	1
DB00216	14	0
DB00217	2	0
DB00218	1	0
DB00219	2	0
DB00220	14	1
DB00221	2	1
DB00222	4	0
DB00223	1	0
DB00224	13	1
DB00225	0	0
DB00226	1	1
DB00227	19	2
DB00228	13	0
DB00229	1	0
DB00230	4	1
DB00231	25	0
DB00232	5	0
DB00233	6	0
DB00234	6	0
DB00235	1	0
DB00236	0	0
DB00237	8	0
DB00238	7	1
DB00239	2	0
DB00240	3	0
DB00241	13	0
DB00242	15	2
DB00243	4	0
DB00244	7	2
DB00245	6	0
DB00246	34	0
DB00247	11	0
DB00248	21	0
DB00249	0	0
DB00250	14	3
DB00251	0	0
DB00252	21	1
DB00253	2	0
DB00254	8	1
DB00255	14	0
DB00256	0	0
DB00257	20	0
DB00258	0	1
DB00259	10	0
DB00260	2	0
DB00261	2	0
DB00262	2	5
DB00263	2	0
DB00264	6	1
DB00265	0	0
DB00266	5	0
DB00267	0	0
DB00268	17	0
DB00270	8	1
DB00271	0	0
DB00272	1	0
DB00273	25	2
DB00274	3	0
DB00275	4	2
DB00276	5	0
DB00277	21	1
DB00278	3	0
DB00279	16	1
DB00280	10	0
DB00281	20	0
DB00282	1	2
DB00283	3	0
DB00284	7	1
DB00285	11	0
DB00286	26	0
DB00287	1	0
DB00288	2	0
DB00289	12	0
DB00290	3	6
DB00291	2	2
DB00292	8	0
DB00293	2	0
DB00294	4	0
DB00295	14	0
DB00296	12	0
DB00297	7	0
DB00298	3	0
DB00299	0	0
DB00300	11	0
DB00301	1	0
DB00302	2	0
DB00303	0	0
DB00304	3	0
DB00305	2	1
DB00306	21	0
DB00307	5	0
DB00308	10	0
DB00309	2	0
DB00310	10	1
DB00312	17	0
DB00313	29	1
DB00314	0	0
DB00315	6	0
DB00316	23	0
DB00317	25	1
DB00318	11	0
DB00319	1	0
DB00320	8	0
DB00321	46	1
DB00322	2	0
DB00323	2	0
DB00324	3	0
DB00325	7	0
DB00326	0	0
DB00327	8	0
DB00328	31	1
DB00330	0	0
DB00331	56	3
DB00332	8	1
DB00333	19	0
DB00334	39	0
DB00335	3	0
DB00336	2	0
DB00337	3	1
DB00338	15	1
DB00339	4	0
DB00340	6	0
DB00341	1	1
DB00343	12	1
DB00344	4	0
DB00345	15	0
DB00346	5	0
DB00347	6	1
DB00348	1	0
DB00349	10	1
DB00350	4	1
DB00351	3	0
DB00352	4	0
DB00353	7	0
DB00354	2	0
DB00355	0	0
DB00356	7	0
DB00357	5	0
DB00358	10	0
DB00359	4	1
DB00360	5	0
DB00361	12	4
DB00362	0	0
DB00363	41	0
DB00364	7	0
DB00366	2	0
DB00367	7	0
DB00368	20	0
DB00369	2	0
DB00370	25	0
DB00371	11	0
DB00373	6	3
DB00374	4	0
DB00375	0	0
DB00376	5	0
DB00377	4	0
DB00378	1	0
DB00379	11	0
DB00380	2	0
DB00381	21	1
DB00383	3	0
DB00384	5	1
DB00385	1	1
DB00387	4	0
DB00388	5	0
DB00389	2	0
DB00390	22	0
DB00391	7	0
DB00392	4	0
DB00393	12	0
DB00394	3	2
DB00395	1	0
DB00396	28	1
DB00397	9	0
DB00398	52	3
DB00399	6	2
DB00400	3	0
DB00401	11	1
DB00402	13	0
DB00403	1	0
DB00404	12	0
DB00405	2	0
DB00406	1	0
DB00407	2	0
DB00408	32	0
DB00409	6	0
DB00410	1	0
DB00411	5	1
DB00412	11	1
DB00413	16	0
DB00415	5	0
DB00417	0	0
DB00418	16	0
DB00419	2	0
DB00420	19	0
DB00421	11	1
DB00422	4	0
DB00423	1	0
DB00424	4	1
DB00425	15	0
DB00426	2	0
DB00427	2	0
DB00428	5	0
DB00429	2	0
DB00430	1	0
DB00431	5	0
DB00432	4	0
DB00433	7	0
DB00434	12	1
DB00435	7	0
DB00436	6	1
DB00437	4	0
DB00438	4	0
DB00440	6	0
DB00441	15	4
DB00442	0	1
DB00443	8	10
DB00444	9	2
DB00445	8	10
DB00446	9	0
DB00448	15	0
DB00449	7	1
DB00450	4	0
DB00451	16	1
