compound_id	disease_id	prior_prob
DB01048	DOID:10652	0.0030583
DB01048	DOID:9206	0.0030583
DB01048	DOID:13241	0
DB01048	DOID:11949	0
DB01048	DOID:8778	0.0078027
DB01048	DOID:11555	0
DB01048	DOID:11119	0
DB01048	DOID:12361	0.0015172
DB01048	DOID:2986	0
DB01048	DOID:13378	0
DB01048	DOID:5408	0.0078027
DB01048	DOID:14330	0
DB01048	DOID:7693	0
DB01048	DOID:635	0.019596
DB01048	DOID:3953	0
DB01048	DOID:10871	0
DB01048	DOID:0050741	0.004618
DB01048	DOID:4481	0.021362
DB01048	DOID:986	0
DB01048	DOID:332	0.0015172
DB01048	DOID:2355	0
DB01048	DOID:7147	0.0094265
DB01048	DOID:11239	0
DB01048	DOID:2841	0.056108
DB01048	DOID:1936	0.0078027
DB01048	DOID:3310	0.021362
DB01048	DOID:1094	0
DB01048	DOID:12849	0
DB01048	DOID:14227	0.0015172
DB01048	DOID:4606	0
DB01048	DOID:3312	0
DB01048	DOID:184	0.0078027
DB01048	DOID:1319	0.0078027
DB01048	DOID:1612	0.032315
DB01048	DOID:10608	0
DB01048	DOID:4362	0
DB01048	DOID:784	0
DB01048	DOID:3083	0.0094265
DB01048	DOID:9296	0
DB01048	DOID:219	0.0078027
DB01048	DOID:12995	0
DB01048	DOID:3393	0.043901
DB01048	DOID:90	0
DB01048	DOID:216	0
DB01048	DOID:12930	0.0030583
DB01048	DOID:10021	0
DB01048	DOID:1595	0
DB01048	DOID:1826	0.028589
DB01048	DOID:5041	0.0030583
DB01048	DOID:1964	0
DB01048	DOID:1312	0.0015172
DB01048	DOID:3121	0
DB01048	DOID:2994	0.0094265
DB01048	DOID:11714	0.0015172
DB01048	DOID:1686	0.028589
DB01048	DOID:13189	0.0094265
DB01048	DOID:11934	0.004618
DB01048	DOID:2531	0.073262
DB01048	DOID:2043	0.004618
DB01048	DOID:10763	0.1203
DB01048	DOID:1459	0.004618
DB01048	DOID:0050156	0
DB01048	DOID:10941	0
DB01048	DOID:263	0.017858
DB01048	DOID:2596	0
DB01048	DOID:1024	0.0030583
DB01048	DOID:3571	0.004618
DB01048	DOID:1324	0.019596
DB01048	DOID:0060073	0.014421
DB01048	DOID:12365	0.014421
DB01048	DOID:3070	0.0015172
DB01048	DOID:1790	0
DB01048	DOID:5559	0
DB01048	DOID:1909	0.0061991
DB01048	DOID:10976	0
DB01048	DOID:3565	0
DB01048	DOID:14221	0.0015172
DB01048	DOID:5099	0
DB01048	DOID:6364	0.011077
DB01048	DOID:2377	0.016132
DB01048	DOID:4045	0.0061991
DB01048	DOID:8986	0
DB01048	DOID:10811	0
DB01048	DOID:585	0.0015172
DB01048	DOID:0050742	0.0015172
DB01048	DOID:9970	0.0061991
DB01048	DOID:2174	0.0015172
DB01048	DOID:8398	0
DB01048	DOID:11476	0.021362
DB01048	DOID:12185	0
DB01048	DOID:2394	0.014421
DB01048	DOID:1793	0.014421
DB01048	DOID:4989	0.0030583
DB01048	DOID:594	0
DB01048	DOID:11615	0
DB01048	DOID:824	0
DB01048	DOID:1192	0.014421
DB01048	DOID:1725	0
DB01048	DOID:0060119	0
DB01048	DOID:11612	0.0015172
DB01048	DOID:12236	0.0015172
DB01048	DOID:10283	0.02494
DB01048	DOID:8893	0.028589
DB01048	DOID:9008	0.0094265
DB01048	DOID:1993	0
DB01048	DOID:9835	0
DB01048	DOID:0050425	0
DB01048	DOID:5875	0
DB01048	DOID:7148	0.019596
DB01048	DOID:8850	0
DB01048	DOID:1115	0.0078027
DB01048	DOID:5419	0
DB01048	DOID:14268	0
DB01048	DOID:4159	0.012734
DB01048	DOID:5612	0
DB01048	DOID:10534	0.012734
DB01048	DOID:9074	0.016132
DB01048	DOID:418	0.011077
DB01048	DOID:2998	0.012734
DB01048	DOID:14004	0
DB01048	DOID:3277	0.0015172
DB01048	DOID:1781	0.004618
DB01048	DOID:11920	0
DB01048	DOID:9744	0.0015172
DB01048	DOID:9352	0.026767
DB01048	DOID:8577	0.019596
DB01048	DOID:11819	0
DB01048	DOID:11054	0.016132
DB01048	DOID:363	0.0078027
DB01048	DOID:13223	0
DB01048	DOID:119	0
DB01048	DOID:175	0
DB01048	DOID:12306	0
DB01048	DOID:1245	0
DB05812	DOID:10652	0.0030583
DB05812	DOID:9206	0.0030583
DB05812	DOID:13241	0
DB05812	DOID:11949	0
DB05812	DOID:8778	0.0078027
DB05812	DOID:11555	0
DB05812	DOID:11119	0
DB05812	DOID:12361	0.0015172
DB05812	DOID:2986	0
DB05812	DOID:13378	0
DB05812	DOID:5408	0.0078027
DB05812	DOID:14330	0
DB05812	DOID:7693	0
DB05812	DOID:635	0.019596
DB05812	DOID:3953	0
DB05812	DOID:10871	0
DB05812	DOID:0050741	0.004618
DB05812	DOID:4481	0.021362
DB05812	DOID:986	0
DB05812	DOID:332	0.0015172
DB05812	DOID:2355	0
DB05812	DOID:7147	0.0094265
DB05812	DOID:11239	0
DB05812	DOID:2841	0.056108
DB05812	DOID:1936	0.0078027
DB05812	DOID:3310	0.021362
DB05812	DOID:1094	0
DB05812	DOID:12849	0
DB05812	DOID:14227	0.0015172
DB05812	DOID:4606	0
DB05812	DOID:3312	0
DB05812	DOID:184	0.0078027
