compound_treats	disease_treats	prior_perm	prior_perm_stderr	n_treatments	n_possible
1	1	0.00151718	7.32529e-07	5	3108
1	2	0.00305825	1.58543e-06	6	1332
1	3	0.00461799	1.92878e-06	8	1332
1	4	0.00619913	3.16569e-06	6	666
1	5	0.0078027	2.11507e-06	17	1776
1	6	0.00942652	2.95824e-06	10	1110
1	7	0.0110769	5.13314e-06	4	444
1	8	0.0127341	4.43087e-06	8	666
1	9	0.0144211	3.56562e-06	19	1110
1	10	0.0161322	4.92405e-06	7	666
1	11	0.0178578	9.09529e-06	4	222
1	12	0.0195965	4.59434e-06	21	888
1	13	0.0213619	5.55982e-06	15	666
1	15	0.0249397	1.0558e-05	4	222
1	16	0.0267671	1.08945e-05	6	222
1	17	0.0285895	6.27525e-06	20	666
1	19	0.0323146	1.18312e-05	5	222
1	25	0.0439014	1.34415e-05	6	222
1	31	0.0561083	1.48039e-05	11	222
1	39	0.0732622	1.63744e-05	17	222
1	59	0.120301	1.92857e-05	23	222
2	1	0.00314765	2.38849e-06	1	756
2	2	0.00632746	5.18372e-06	1	324
2	3	0.00954067	6.3182e-06	2	324
2	4	0.0127931	1.03943e-05	3	162
2	5	0.016085	6.9466e-06	7	432
2	6	0.0193951	9.72767e-06	5	270
2	7	0.0227657	1.68236e-05	5	108
2	8	0.0260867	1.45683e-05	3	162
2	9	0.0295163	1.17709e-05	4	270
2	10	0.0329325	1.62186e-05	6	162
2	11	0.0363784	2.99633e-05	3	54
2	12	0.0398996	1.51587e-05	6	216
2	13	0.0433691	1.83798e-05	10	162
2	15	0.0505144	3.49099e-05	4	54
2	16	0.0540316	3.60134e-05	5	54
2	17	0.0576726	2.08121e-05	9	162
2	19	0.0649427	3.92551e-05	3	54
2	25	0.0872142	4.47873e-05	4	54
2	31	0.109943	4.94761e-05	5	54
2	39	0.140984	5.48782e-05	7	54
2	59	0.219787	6.52364e-05	15	54
3	1	0.00489309	5.59353e-06	2	238
3	2	0.00980919	1.20914e-05	1	102
3	3	0.0147796	1.47364e-05	2	102
3	4	0.0197945	2.41702e-05	0	51
3	5	0.0247792	1.61182e-05	2	136
3	6	0.0298402	2.25617e-05	5	85
3	7	0.0349489	3.91054e-05	0	34
3	8	0.04008	3.37734e-05	2	51
3	9	0.0451806	2.71709e-05	5	85
3	10	0.0503749	3.75952e-05	4	51
3	11	0.0556226	6.93218e-05	0	17
3	12	0.0607058	3.49165e-05	3	68
3	13	0.0659832	4.23672e-05	2	51
3	15	0.0764845	8.02881e-05	1	17
3	16	0.0816274	8.27355e-05	0	17
3	17	0.0869352	4.76627e-05	5	51
3	19	0.0975642	8.9581e-05	1	17
3	25	0.129417	0.000101313	4	17
3	31	0.161224	0.000110957	1	17
3	39	0.203425	0.000121842	6	17
3	59	0.303038	0.000139004	5	17
4	1	0.00671602	9.67741e-06	0	112
4	2	0.0134836	2.09491e-05	1	48
4	3	0.0203158	2.55203e-05	0	48
4	4	0.0270918	4.18301e-05	2	24
4	5	0.0339431	2.78075e-05	4	64
4	6	0.0407335	3.87501e-05	3	40
4	7	0.0476037	6.72349e-05	1	16
4	8	0.0545842	5.80131e-05	2	24
4	9	0.0613747	4.65467e-05	2	40
4	10	0.0684612	6.42389e-05	0	24
4	11	0.0749659	0.000118203	0	8
4	12	0.0821069	5.96681e-05	3	32
4	13	0.0888356	7.2091e-05	2	24
4	15	0.10258	0.000136304	0	8
4	16	0.10956	0.000140269	0	8
4	17	0.116346	8.07182e-05	3	24
4	19	0.130172	0.000151466	2	8
4	25	0.170346	0.000168923	3	8
4	31	0.209997	0.000183223	1	8
4	39	0.260275	0.000197803	1	8
4	59	0.373605	0.000218612	2	8
5	1	0.00870075	1.57387e-05	1	56
5	2	0.0173913	3.39711e-05	0	24
5	3	0.0260534	4.11584e-05	1	24
5	4	0.0348706	6.749e-05	0	12
5	5	0.0434175	4.4657e-05	0	32
5	6	0.0521381	6.22671e-05	2	20
5	7	0.0606251	0.000107857	0	8
5	8	0.0695685	9.29391e-05	1	12
5	9	0.0781889	7.45217e-05	1	20
5	10	0.0865174	0.000102489	1	12
5	11	0.0951448	0.000188643	0	4
5	12	0.103666	9.47053e-05	4	16
5	13	0.112032	0.00011424	0	12
5	15	0.12893	0.000215681	0	4
5	16	0.137308	0.00022134	0	4
5	17	0.145657	0.000126963	1	12
5	19	0.162084	0.000236635	2	4
5	25	0.210218	0.000262702	1	4
5	31	0.255357	0.000280786	1	4
5	39	0.312968	0.000298179	1	4
5	59	0.434683	0.000320494	3	4
6	1	0.0107954	1.40866e-05	0	84
6	2	0.0215367	3.02957e-05	1	36
6	3	0.0322131	3.67407e-05	2	36
6	4	0.0428475	5.99832e-05	1	18
6	5	0.0533746	3.96938e-05	0	48
6	6	0.0639233	5.52097e-05	2	30
6	7	0.0742705	9.51758e-05	1	12
6	8	0.0847555	8.17275e-05	2	18
6	9	0.0950788	6.538e-05	3	30
6	10	0.1053	9.00304e-05	2	18
6	11	0.115704	0.000165821	2	6
6	12	0.125617	8.30591e-05	4	24
6	13	0.135703	9.98833e-05	2	18
6	15	0.155172	0.000188077	1	6
6	16	0.16524	0.000192582	2	6
6	17	0.174687	0.000110357	4	18
6	19	0.193666	0.000204889	0	6
6	25	0.248426	0.000224686	1	6
6	31	0.299201	0.000238164	2	6
6	39	0.359664	0.000250287	2	6
6	59	0.486397	0.000262008	2	6
7	1	0.0129866	3.88916e-05	0	14
7	2	0.0256777	8.31951e-05	0	6
7	3	0.0385049	0.000100681	0	6
7	4	0.0514791	0.000164762	0	3
7	5	0.0640167	0.000108507	0	8
7	6	0.0762933	0.000150918	0	5
7	7	0.0884083	0.000259838	0	2
7	8	0.100752	0.000222607	0	3
7	9	0.112561	0.000177517	0	5
7	10	0.123824	0.000243116	2	3
7	11	0.135873	0.000446297	0	1
7	12	0.147762	0.00022314	0	4
7	13	0.158779	0.000268193	0	3
7	15	0.181334	0.000501835	1	1
