compound_id	disease_id	compound_treats	disease_treats	prior_perm	prior_perm_stderr
DB00014	DOID:0050741	2	2	0.00610084	4.51523e-06
DB00014	DOID:1024	2	2	0.00610084	4.51523e-06
DB00014	DOID:12236	2	2	0.00610084	4.51523e-06
DB00014	DOID:12361	2	2	0.00610084	4.51523e-06
DB00014	DOID:2174	2	2	0.00610084	4.51523e-06
DB00014	DOID:3070	2	2	0.00610084	4.51523e-06
DB00014	DOID:3571	2	2	0.00610084	4.51523e-06
DB00014	DOID:4989	2	2	0.00610084	4.51523e-06
DB00153	DOID:0050741	2	2	0.00610084	4.51523e-06
DB00153	DOID:1024	2	2	0.00610084	4.51523e-06
DB00153	DOID:12236	2	2	0.00610084	4.51523e-06
DB00153	DOID:12361	2	2	0.00610084	4.51523e-06
DB00153	DOID:2174	2	2	0.00610084	4.51523e-06
DB00153	DOID:3070	2	2	0.00610084	4.51523e-06
DB00153	DOID:3571	2	2	0.00610084	4.51523e-06
DB00153	DOID:4989	2	2	0.00610084	4.51523e-06
DB00175	DOID:0050741	2	2	0.00610084	4.51523e-06
DB00175	DOID:1024	2	2	0.00610084	4.51523e-06
DB00175	DOID:12236	2	2	0.00610084	4.51523e-06
DB00175	DOID:12361	2	2	0.00610084	4.51523e-06
DB00175	DOID:2174	2	2	0.00610084	4.51523e-06
DB00175	DOID:3070	2	2	0.00610084	4.51523e-06
DB00175	DOID:3571	2	2	0.00610084	4.51523e-06
DB00175	DOID:4989	2	2	0.00610084	4.51523e-06
DB00180	DOID:0050741	2	2	0.00610084	4.51523e-06
DB00180	DOID:1024	2	2	0.00610084	4.51523e-06
DB00180	DOID:12236	2	2	0.00610084	4.51523e-06
DB00180	DOID:12361	2	2	0.00610084	4.51523e-06
DB00180	DOID:2174	2	2	0.00610084	4.51523e-06
DB00180	DOID:3070	2	2	0.00610084	4.51523e-06
DB00180	DOID:3571	2	2	0.00610084	4.51523e-06
DB00180	DOID:4989	2	2	0.00610084	4.51523e-06
DB00227	DOID:0050741	2	2	0.00610084	4.51523e-06
DB00227	DOID:1024	2	2	0.00610084	4.51523e-06
DB00227	DOID:12236	2	2	0.00610084	4.51523e-06
DB00227	DOID:12361	2	2	0.00610084	4.51523e-06
DB00227	DOID:2174	2	2	0.00610084	4.51523e-06
DB00227	DOID:3070	2	2	0.00610084	4.51523e-06
DB00227	DOID:3571	2	2	0.00610084	4.51523e-06
DB00227	DOID:4989	2	2	0.00610084	4.51523e-06
DB00244	DOID:0050741	2	2	0.00610084	4.51523e-06
DB00244	DOID:1024	2	2	0.00610084	4.51523e-06
DB00244	DOID:12236	2	2	0.00610084	4.51523e-06
DB00244	DOID:12361	2	2	0.00610084	4.51523e-06
DB00244	DOID:2174	2	2	0.00610084	4.51523e-06
DB00244	DOID:3070	2	2	0.00610084	4.51523e-06
DB00244	DOID:3571	2	2	0.00610084	4.51523e-06
DB00244	DOID:4989	2	2	0.00610084	4.51523e-06
DB00286	DOID:0050741	2	2	0.00610084	4.51523e-06
DB00286	DOID:1024	2	2	0.00610084	4.51523e-06
DB00286	DOID:12236	2	2	0.00610084	4.51523e-06
DB00286	DOID:12361	2	2	0.00610084	4.51523e-06
DB00286	DOID:2174	2	2	0.00610084	4.51523e-06
DB00286	DOID:3070	2	2	0.00610084	4.51523e-06
DB00286	DOID:3571	2	2	0.00610084	4.51523e-06
DB00286	DOID:4989	2	2	0.00610084	4.51523e-06
